title,date,link,thumbnail,完工年月,場所,建物種別,受注形態,description,main_image,gallery,完工年月日,工事内容,完成年月日,建物,備考
Landport岩槻計画に伴う解体工事,2015年04月30日,https://www.tanaken-1982.co.jp/ja/case/factory/f008.html,https://www.tanaken-1982.co.jp/ja/case/factory/f008/image/image38.png.png,,埼玉県,工場・倉庫,下請,N/A,N/A,,2015.4.30,解体,,,
東テク株式会社本社計画（地上解体）,2015年04月30日,https://www.tanaken-1982.co.jp/ja/case/building/b013.html,https://www.tanaken-1982.co.jp/ja/case/building/b013/image/image36.png.png,,東京都,商業施設・ビル,下請,N/A,N/A,,2015.4.30,解体,,,
旧Iホテル解体工事（地上部のみ）,2015年04月28日,https://www.tanaken-1982.co.jp/ja/case/building/b014.html,https://www.tanaken-1982.co.jp/ja/case/building/b014/image/fd0b67b7c48d26abe9d32465e9cf858c-760x570.jpg.jpg,,静岡県,商業施設・ビル,元請,N/A,N/A,,2015.4.28,解体,,,
昭和女子大弦巻学生寮解体工事,2015年03月31日,https://www.tanaken-1982.co.jp/ja/case/school_hospital/s004.html,https://www.tanaken-1982.co.jp/ja/case/school_hospital/s004/image/image30.png.png,,東京都,学校・病院施設,下請,N/A,N/A,,2015.3.31,解体,,,
（仮称）保谷町5丁目既存建物解体工事,2015年02月28日,https://www.tanaken-1982.co.jp/ja/case/housing/h004.html,https://www.tanaken-1982.co.jp/ja/case/housing/h004/image/image20mask0224.jpg.jpg,,東京都,集合住宅,元請,N/A,N/A,,2015.2.28,解体,,,
第二鍛造工場アスベスト除去工事,2015年01月06日,https://www.tanaken-1982.co.jp/ja/case/factory/f009.html,https://www.tanaken-1982.co.jp/ja/case/factory/f009/image/image21mask0224.png.png,,愛知県,工場・倉庫,元請,N/A,N/A,,2015.1.6,解体,,,アスベスト撤去
銀座7丁目商業ビル解体工事,2014年09月30日,https://www.tanaken-1982.co.jp/ja/case/building/b015.html,https://www.tanaken-1982.co.jp/ja/case/building/b015/image/image27.jpg.jpg,,東京都,商業施設・ビル,元請,N/A,N/A,,2014.9.30,解体,,,
日鐵日本橋ビル解体工事（地上部）,2014年07月31日,https://www.tanaken-1982.co.jp/ja/case/building/b016.html,https://www.tanaken-1982.co.jp/ja/case/building/b016/image/image16.jpg.jpg,,東京都,商業施設・ビル,元請,N/A,N/A,,2014.7.31,解体,,,
東陽町計画既存建物地下解体等工事,2014年06月30日,https://www.tanaken-1982.co.jp/ja/case/building/b017.html,https://www.tanaken-1982.co.jp/ja/case/building/b017/image/image26.jpg.jpg,,東京都,商業施設・ビル,下請,N/A,N/A,,2014.6.30,解体,,,地下解体
新立川航空機株式会社 江ノ島工場 土間基礎解体工事,2014年03月03日,https://www.tanaken-1982.co.jp/ja/case/factory/f010.html,https://www.tanaken-1982.co.jp/ja/case/factory/f010/image/image25.jpg.jpg,,東京都,工場・倉庫,元請,N/A,N/A,,2014.3.3,解体,,,
