title,date,link,thumbnail,完工年月,場所,建物種別,受注形態,description,main_image,gallery,完工年月日,工事内容,完成年月日,建物,備考
相模原市　百貨店解体工事,2020年06月29日,https://www.tanaken-1982.co.jp/ja/case/building/b037.html,https://www.tanaken-1982.co.jp/ja/case/building/b037/image/SI.jpg.jpg,,神奈川県,商業施設・ビル,下請,N/A,N/A,,工事中,解体,,,
I東大阪店　解体工事,2020年05月09日,https://www.tanaken-1982.co.jp/ja/case/building/b042.html,https://www.tanaken-1982.co.jp/ja/case/building/b042/image/IYH.jpg.jpg,,大阪府,商業施設・ビル,元請,N/A,N/A,,2020.5.9,解体,,,
いなげや武蔵村山精肉センター解体工事,2019年12月31日,https://www.tanaken-1982.co.jp/ja/case/factory/f014.html,https://www.tanaken-1982.co.jp/ja/case/factory/f014/image/IM.jpg.jpg,,東京都,工場・倉庫,元請,N/A,N/A,,2020.1.24,解体,,,
つくば市東新井計画解体工事,2019年11月29日,https://www.tanaken-1982.co.jp/ja/case/housing/h008.html,https://www.tanaken-1982.co.jp/ja/case/housing/h008/image/T4.jpg.jpg,,茨城県,集合住宅,下請,N/A,N/A,,2019.11.29,解体,,,
Kビル解体工事,2019年09月01日,https://www.tanaken-1982.co.jp/ja/case/building/b036.html,https://www.tanaken-1982.co.jp/ja/case/building/b036/image/K1.jpg.jpg,,神奈川県,商業施設・ビル,元請,N/A,N/A,,2020.3.25,解体,,,
若潮ハイツ建替計画　解体工事（Ⅰ期工事）,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/housing/h007.html,https://www.tanaken-1982.co.jp/ja/case/housing/h007/image/WH.JPG.JPG,,千葉県,集合住宅,下請,N/A,N/A,,2018.9.25,解体,,,
某社員寮解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/housing/h006.html,https://www.tanaken-1982.co.jp/ja/case/housing/h006/image/W.jpg.jpg,,神奈川県,集合住宅,下請,N/A,N/A,,2018.9.29,解体,,,
横浜大栄ビル解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b035.html,https://www.tanaken-1982.co.jp/ja/case/building/b035/image/YB.jpg.jpg,,神奈川県,商業施設・ビル,元請,N/A,N/A,,2018.5.21,解体,,,
（仮称）名鉄運輸㈱深川支店,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b034.html,https://www.tanaken-1982.co.jp/ja/case/building/b034/image/images.jpg.jpg,,東京都,事務所,元請,N/A,N/A,,2018.5.8,解体,,,
某ビル解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b033.html,https://www.tanaken-1982.co.jp/ja/case/building/b033/image/SE2.JPG.JPG,,東京都,事務所,下請,N/A,N/A,,2018.12.8,解体,,,
（仮称）Landport東習志野新築工事に伴う既存建物解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b032.html,https://www.tanaken-1982.co.jp/ja/case/building/b032/image/H1.JPG.JPG,,千葉県,商業施設・ビル,下請,N/A,N/A,,2018.4.13,解体,,,
国永紙業㈱本社建屋解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b031.html,https://www.tanaken-1982.co.jp/ja/case/building/b031/image/KE2.JPG.JPG,,東京都,事務所,下請,N/A,N/A,,2018.7.26,解体,,,
外神田三丁目計画　既存建物地上部解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b030.html,https://www.tanaken-1982.co.jp/ja/case/building/b030/image/SK1.JPG.JPG,,東京都,商業施設・ビル,下請,N/A,N/A,,2018.11.30,解体,,,
（仮称）Landport越谷既存建物解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b029.html,https://www.tanaken-1982.co.jp/ja/case/building/b029/image/K2.JPG.JPG,,埼玉県,商業施設・ビル,下請,N/A,N/A,,2018.10.31,解体,,,
ピアゴ弘明寺店解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/building/b028.html,https://www.tanaken-1982.co.jp/ja/case/building/b028/image/P553.jpg.jpg,,神奈川県,商業施設・ビル,元請,N/A,N/A,,2018.8.10,解体,,,
西地区204号棟倉庫解体工事,2019年08月27日,https://www.tanaken-1982.co.jp/ja/case/factory/f013.html,https://www.tanaken-1982.co.jp/ja/case/factory/f013/image/204_2.JPG.JPG,,東京都,工場・倉庫,元請,N/A,N/A,,2018.7.24,解体,,,
日本大学法学部３号館,2018年01月22日,https://www.tanaken-1982.co.jp/ja/case/school_hospital/s006.html,https://www.tanaken-1982.co.jp/ja/case/school_hospital/s006/image/image1.jpg.jpg,,東京都,校舎,下請,N/A,N/A,,2018.01.22,解体,,,
川村積算ビル解体,2017年12月27日,https://www.tanaken-1982.co.jp/ja/case/building/b001.html,https://www.tanaken-1982.co.jp/ja/case/building/b001/image/2018-07-600x450.jpg.jpg,,東京都,事務所,元請,N/A,N/A,,2017.12.27,解体,,,
東池袋２丁目計画解体,2017年12月20日,https://www.tanaken-1982.co.jp/ja/case/building/b002.html,https://www.tanaken-1982.co.jp/ja/case/building/b002/image/2018-08-600x450.jpg.jpg,,東京都,事務所,元請,N/A,N/A,,2017.12.20,解体,,,
サンイースト東雲ビル解体,2017年11月30日,https://www.tanaken-1982.co.jp/ja/case/building/b003.html,https://www.tanaken-1982.co.jp/ja/case/building/b003/image/2018-03-600x450.jpg.jpg,,東京都,事務所,下請,N/A,N/A,,2017.11.30,解体,,,
中央林間計画,2017年08月01日,https://www.tanaken-1982.co.jp/ja/case/building/b004.html,https://www.tanaken-1982.co.jp/ja/case/building/b004/image/2018-01-600x450.jpg.jpg,,神奈川県,工場,下請,N/A,N/A,,2017.8.1,解体,,,
埼玉栄中・高　校舎解体,2017年07月14日,https://www.tanaken-1982.co.jp/ja/case/school_hospital/s001.html,https://www.tanaken-1982.co.jp/ja/case/school_hospital/s001/image/2018-02-600x450.jpg.jpg,,埼玉県,校舎,元請,N/A,N/A,,2017.7.14,解体,,,
春日・後楽園駅前地区市街地再開発,2017年03月31日,https://www.tanaken-1982.co.jp/ja/case/redevelop/r001.html,https://www.tanaken-1982.co.jp/ja/case/redevelop/r001/image/698d53ff0fa4997b1e198dcf746372bc-760x570.jpg.jpg,,東京都,再開発,元請,N/A,N/A,,2017.3.31,解体,,,
